doi_o,message
10.1037/0022-3514.94.1.91,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/abxcj

**Outcome:** ""failed""

> **Outcome quote:** no marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0022-3514.94.2.245,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/ng6cc

**Outcome:** ""successful""

> **Outcome quote:** yes marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0022-3514.94.3.396,"**2 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240

**Outcome:** ""failed""

> **Outcome quote:** 0 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0
> **Quote source:** ""Supplemental Infromation""


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/79dey

**Outcome:** ""failed""

> **Outcome quote:** no marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0022-3514.94.4.600,"**3 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Skorb, L., Aczel, B., Bakos, B. E., Feinberg, L., Ha--asa, E., Kauff, M., Kovacs, M., Krasuska, K., Kuchno, K., Manfredi, D., Montealegre, A., P--kala, E., Pie--kosz, D., Ravid, J., Rentzsch, K., Szaszi, B., Schulz-Hardt, S., Sioma, B., Szecsi, P., --- Hartshorne, J. K. (2020). Many Labs 5: Replication of van Dijk, van Kleef, Steinel, and van Beest (2008). Advances in Methods and Practices in Psychological Science, 3(3), 418---428. https://doi.org/10.1177/2515245920927643

**Outcome:** ""mixed""

> **Outcome quote:** These results are consistent with there being at least a small effect in the predicted direction in at least some contexts. We found little evidence for a large effect that is robust to context.
> **Quote source:** ""p. 426""


**Replication article reference:** Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarevi--, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., --- Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309---331. https://doi.org/10.1177/2515245920958687

**Outcome:** ""failed""

> **Outcome quote:** Table 3 ML5 Revised CI includes 0 || Table 3 ML5:RP:P Protocol CI includes 0
> **Quote source:** ""Table 3""


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/xtsq6

**Outcome:** ""failed""

> **Outcome quote:** no marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0278-7393.34.2.343,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/sqim7

**Outcome:** ""successful""

> **Outcome quote:** yes marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0278-7393.34.3.514,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/bscfe

**Outcome:** ""successful""

> **Outcome quote:** yes marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0278-7393.34.3.524,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/k9gp6

**Outcome:** ""successful""

> **Outcome quote:** yes marked in Replicate column
> **Quote source:** ""data file at https://osf.io/fgjvw""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/a0027598,"**2 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Pecher, D., van Mierlo, H., Ca--al-Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65---e72. https://doi.org/10.1037/xge0000090

**Outcome:** ""failed""

> **Outcome quote:** In 2 experiments, we tried to replicate this finding, but, despite larger power, did not find a difference in slant estimates between participants who recalled a big secret and those who recalled a small secret. || In a third experiment, we also failed to replicate the effect of recalling a secret on throwing a beanbag at a target (Slepian et al., 2012, Experiment 2). Together, our findings question the robustness of the original empirical findings.
> **Quote source:** ""abstract""


**Replication article reference:** LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696---700. https://doi.org/10.3758/s13423-013-0549-2

**Outcome:** ""failed""

> **Outcome quote:** In both samples, we were unsuccessful in replicating the target finding.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/a0036477,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Godinho, S., & Garrido, M. V. (2015). Oral approach---avoidance: A replication and extension for European---Portuguese phonation. European Journal of Social Psychology, 46(2), 260---264. Portico. https://doi.org/10.1002/ejsp.2172

**Outcome:** ""successful""

> **Outcome quote:** To summarize, in both studies we were able to replicate the effect.
> **Quote source:** ""p. 263""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/a0039737,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Cracco, E., & Brass, M. (2018). Automatic imitation of multiple agents: Simultaneous or random representation? Journal of Experimental Psychology: Human Perception and Performance, 44(5), 729---740. https://doi.org/10.1037/xhp0000489

**Outcome:** ""successful""

> **Outcome quote:** In Experiments 1 and 2, we replicate our results using a stimulus setup that made random sampling unlikely.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
